id,instruction,year
340,"Six-part drawing. The wall is divided horizontally and vertically into six equal parts. 1st part: On red, blue horizontal parallel lines, and in the center, a circle within which are yellow vertical parallel lines; 2nd part: On yellow, red horizontal parallel lines, and in the center, a square within which are blue vertical parallel lines; 3rd part: On blue, yellow horizontal parallel lines, and in the center, a triangle within which are red vertical parallel lines; 4th part: On red, yellow horizontal parallel lines, and in the center, a rectangle within which are blue vertical parallel lines; 5th part: On yellow, blue horizontal parallel lines, and in the center, a trapezoid within which are red vertical parallel lines; 6th part: On blue, red horizontal parallel lines, and in the center, a parallelogram within which are yellow vertical parallel lines. The horizontal lines do not enter the figures.",1980
365,"A square divided horizontally and vertically into four equal parts, each with a progressively darker gradation of gray.",1984
381,"A square divided horizontally and vertically into four equal parts, one gray, one yellow, one red and one blue, drawn with color and India ink washes.",1982
386,"Stars with three, four, five, six, seven, eight, and nine points, drawn with a light tone India ink wash inside, an India ink wash outside, separated by a 6-inch (15 cm) white band.",1983
391,"Two-part drawing. The two walls are each divided horizontally and vertically into four equal parts. First wall: 12-inch (30 cm) bands of lines in four directions, one direction in each part, drawn in black India ink. Second wall: Same, but with four colors drawn in India ink and color ink washes.",1983
396,"A black five-pointed star, a yellow six-pointed star, a red seven-pointed star, and a blue eight-pointed star, drawn in color and India ink washes.",1983
413,Drawing Series IV (A) with color ink washes. (24 drawings.),1984
414,Drawing Series IV (A) with India ink washes. (24 Drawings.),1984
419,The wall is bordered and divided horizontally and vertically into four equal parts with a 6-inch (15 cm) black ink band. Each quarter has alternating parallel 6-inch (15 cm) bands of white and color ink bands. Upper left: gray; upper right: yellow; lower left: red; lower right: blue.,1984
422,"The room (or wall) is divided vertically into fifteen parts. All one-, two-, three-, and four-part combinations of four colors, using color ink washes.",1984
439,Asymmetrical pyramid with color ink washes superimposed.,1985
462,"On four walls, one room, arcs 4 inches (10 cm) wide, from the midpoints of four sides, drawn with alternating bands of gray and black ink wash (Detail: three walls).",1986
527,Two flat-topped pyramids with color ink washes superimposed.,1987
579,Three concentric arches. The outside one is blue; the middle red; and the inside one is yellow.,1988
610,Isometric figure with color ink washes superimposed.,1989
614,"Rectangles formed by 3-inch (8 cm) wide India ink bands, meeting at right angles.",1989
630,A wall is divided horizontally into two equal parts. Top: alternating horizontal black and white 8-inch (20 cm) bands. Bottom: alternating vertical black and white 8-inch (20 cm) bands.,1990
631,A wall is divided into two equal parts by a line drawn from corner to corner. Left: alternating diagonal black and white 8-inch (20 cm) bands from the lower left. Right: alternating diagonal black and white 8-inch (20 cm) bands from the upper right.,1990
692,Continuous forms with color ink washes superimposed.,1991
766,"Twenty-one isometric cubes of varying sizes, each with color ink washes superimposed.",1994
792,Black rectangles and squares.,1995
797,"The first drafter has a black marker and makes an irregular horizontal line near the top of the wall. Then the second drafter tries to copy it (without touching it) using a red marker. The third drafter does the same, using a yellow marker. The fourth drafter does the same using a blue marker. Then the second drafter followed by the third and fourth copies the last line drawn until the bottom of the wall is reached.",1995
821,"A black square divided horizontally and vertically into four equal parts, each with a different direction of alternating flat and glossy bands.",1997
822,A wall divided horizontally by a curvy line. The top is flat black; the bottom is glossy black.,1997
824,A black square divided in two parts by a wavy line. One part flat; one glossy.,1997
852,A wall divided from the upper left to the lower right by a curvy line; left: glossy yellow; right: glossy purple.,1998
853,A wall bordered and divided vertically into two parts by a flat black band. Left part: a square is divided vertically by a curvy line. Left: glossy red; right: glossy green; Right part: a square is divided horizontally by a curvy line. Top: glossy blue; bottom: glossy orange.,1998
880,Loopy Doopy (orange and green).,1998
901,Color bands and black blob. The wall is divided vertically into six equal bands; red; yellow; blue; orange; purple; green. In the center is a black glossy blob.,1999
915,"Arcs, circle, and irregular bands.",1999
957,Form derived from a cube.,2000
958,Splat.,2000
999,Parallel Curves (detail: one of two walls),2001
1005,Isometric form.,2001
1037,Bars of color within a square (#8).,2002
1042,Isometric form.,2002
1046,Bars of color (La Coruña).,2002
1081,Planes of color.,2003
1112,Square with broken bands of color.,2003
1152,Whirls and twirls. (Met),2005
1171,Five degrees of scribbles: A cube without a cube; A cube without a corner.,2005
1180,"Within a four-meter (160”) circle, draw 10,000 black straight lines and 10,000 black not straight lines. All lines are randomly spaced and equally distributed.",2005
1185,Scribbles: Inverted curve (horizontal).,2005
1186,Scribbles: Inverted curve (vertical).,2005
1247,Scribbles 7.,2007
1260,Scribble: Square without a square.,2008
1261,Scribbles. (Yale),2008
